asset_id,longitude,latitude,water_use_m3y
GIRONA_LESCALA_1,3.1581480704355096,42.11719087152096,5000
GIRONA_LESCALA_2,3.117701471291553,42.11432155362875,30000
GIRONA_LESCALA_3,3.1235139359246924,42.09028966415301,5000
GIRONA_LESCALA_4,3.1586286276385005,42.10634359426277,12000
GIRONA_LESCALA_5,3.1355861615476557,42.13156970194339,12000
GIRONA_LESCALA_6,3.1061413892699945,42.110557498583624,5000
GIRONA_LESCALA_7,3.132082420557201,42.10129669866689,12000
GIRONA_LESCALA_8,3.14351326103384,42.123944768080236,12000
GIRONA_LESCALA_9,3.1192933256678015,42.097636567676574,30000
GIRONA_LESCALA_10,3.132222691452579,42.110548121776496,5000
